Title,Date,Views,Likes,Comments,Video_ID,Category,Extracted: ,LTV,CTL,Diff
How to Fix a Headache in Seconds #Shorts,2022-04-27T13:30:13Z,2386421,84836,2107,cMThkDoozj0,PeopleBlogs,,3.554946927,2.483615446,1152
Possibly why a chiffon cake deflates?,2022-04-26T13:00:21Z,92556,2979,34,lm3m3G7r-VI,PeopleBlogs,,3.218591988,1.141322591,1153
This is the Pro XDR Mini,2022-04-25T17:07:47Z,434745,7978,130,b2dnbTJsSec,PeopleBlogs,,1.835098736,1.629481073,1154
I Got An 18th Century Makeover,2022-04-24T21:07:36Z,4229421,188013,5406,XKDhq2UcjIM,PeopleBlogs,,4.445360251,2.875333089,1155
Bad Birdie Get's A Deal ONLY If Robert Makes A Putt  | Shark Tank US | Shark Tank Global,2022-04-23T15:59:52Z,1302066,21481,736,sDkxpFWNpB8,PeopleBlogs,,1.649762762,3.426283693,1156
Spearfishing A 15 Year Old Fish,2022-04-23T14:30:09Z,52792286,2797617,15944,taHpfRSyT3k,PeopleBlogs,,5.299291264,0.5699136086,1156
Is a crepe maker worth it?,2022-04-22T10:00:01Z,5734965,407175,7357,3GmkJ7w0aWI,PeopleBlogs,,7.099868962,1.806839811,1157
Zach Bryan - Something In The Orange,2022-04-22T06:44:15Z,186725726,822964,16547,lA8F9sIhGdg,PeopleBlogs,,0.4407341279,2.010659032,1157
How To Vent & Plumb a Toilet (in 2024),2022-04-21T16:37:12Z,2814461,23566,529,5cWbYMdcYdk,PeopleBlogs,,0.8373184066,2.244759399,1158
ഞങ്ങളുടെ ഈസ്റ്റർ-വിഷു ആഘോഷം | Easter celebration and Family Gathering | A day in our life,2022-04-21T02:59:09Z,653,38,10,VPTAh4aP8y0,PeopleBlogs,,5.819295559,26.31578947,1158
How to remove a menstrual cup mess free #shorts,2022-04-20T16:33:07Z,6181053,110374,1652,3goupRaMMP4,PeopleBlogs,,1.785682795,1.496729302,1159
A hen in her nest 🐓,2022-04-19T23:15:01Z,10612107,767566,2504,g-hPtKGb8yo,PeopleBlogs,,7.232927448,0.3262260183,1160
At least 1 fig we eat has a 💀 female wasp inside. Find out why with me🌱 #fig #howtowithjessie,2022-04-19T20:31:23Z,1074009,12422,201,_UR1CrmMi5k,PeopleBlogs,,1.156601109,1.618096925,1160
Have you ever seen a sunset like that? Please dm for credit/removal.,2022-04-19T10:48:07Z,5,2,1,c4ZyiqzJAW0,PeopleBlogs,,40,50,1160
COMO FAZER A MELHOR PICANHA NA CHURRASQUEIRA ELÉTRICA #Shorts,2022-04-18T21:58:33Z,2124263,231475,541,vrZTQeybVtg,PeopleBlogs,,10.89672042,0.2337185441,1161
How To Pressure Wash A House,2022-04-18T19:17:36Z,194874,7816,68,q9x8E79x-Y8,PeopleBlogs,,4.01079672,0.8700102354,1161
,,,,,,,,#DIV/0!,#DIV/0!,#VALUE!
,,,,,,,,#DIV/0!,#DIV/0!,#VALUE!
What Happens After I Rescue a Colony of Bees,2022-05-15T15:06:30Z,4537319,345960,2394,2uC5A-fsVCI,PetsAnimals,,7.62476696,0.691987513,1134
STUNG by a Fireworm!,2022-05-14T12:00:57Z,5868027,97071,3657,IXr0HyRkRQk,PetsAnimals,,1.654235742,3.767345551,1135
I built my dogs a giant ball pit! #goldendoodle #dogdad #ballpit,2022-05-13T15:11:21Z,4846075,363452,2665,ybkw-5LJOiA,PetsAnimals,,7.499925197,0.7332467561,1136
What Happens When You Mix Fire and a Tornado? ﻿| The Test Lab | BBC Earth Kids,2022-05-12T13:00:30Z,295786,143,N/A,cErokR6s7T8,PetsAnimals,,0.04834576349,#VALUE!,1137
Three ways to bathe a cat without problems. #cats #shorts,2022-05-12T09:21:23Z,10606257,617399,6563,UL6PST0eEcc,PetsAnimals,,5.821082782,1.063007877,1137
Training session with a Belgian Malinois puppy,2022-05-08T23:04:07Z,615705,17757,119,-CsZpa7MK4g,PetsAnimals,,2.884011012,0.6701582475,1141
Lucrezia Conti 6 anni pattinaggio artistico a rotelle - catene di salti in allenamento,2022-05-06T14:28:54Z,198041,4517,52,gXhSViST49M,PetsAnimals,,2.280840836,1.151206553,1143
I Took My Axolotl to the Vet,2022-05-05T22:15:00Z,4084906,35650,1942,BfpGhozN7vE,PetsAnimals,,0.8727251007,5.44740533,1144
✅ Cómo lavarle los dientes a tu perro SIN causarle un TRAUMA,2022-05-05T14:00:31Z,76284,3975,31,s0wJRji8Sr4,PetsAnimals,,5.210791254,0.7798742138,1144
Rottweiler Theo é a única forma de acalmar o Bebê Henry.,2022-05-05T00:34:20Z,931,64,12,OiFlB1mM_DE,PetsAnimals,,6.874328679,18.75,1144
The Power of Pollinators,2022-05-02T14:00:16Z,218152,2371,110,eDxZojp9yNg,PetsAnimals,,1.08685687,4.639392661,1147
How to Stop a Reverse Sneeze in Your Dog,2022-05-01T14:18:48Z,510475,8153,128,uL0bAMh7iaE,PetsAnimals,,1.597139919,1.569974243,1148
Teeny Tiny Baby Is Now King Of The Kittens ❤️ | Dodo Kids | Baby 2 Big,2022-05-01T12:00:05Z,3097163,3621,0,6mPynZPJVM4,PetsAnimals,,0.1169134463,0,1148
A Verdade Sobre A Indústria do Leite E O Bem Estar Animal!,2022-04-29T18:15:01Z,617,71,20,D3mtcZbpSlI,PetsAnimals,,11.50729335,28.16901408,1150
γεννάνε και τα κοκόρια μας,2022-04-29T18:14:00Z,1101,37,1,bu4A1vn_6O4,PetsAnimals,,3.36058129,2.702702703,1150
Pony sits like a Human! | This Esme,2022-04-26T17:01:36Z,329093,19226,226,-t4saPnoWis,PetsAnimals,,5.842117578,1.175491522,1153
David Attenborough Meets a Hedgehog Parasite That Feasts on BLOOD | Micro Monsters | Nature Bites,2022-04-25T16:30:11Z,250530,2238,164,zEhFn9wpAOw,PetsAnimals,,0.8933061909,7.327971403,1154
Ep 62: The Dogs Go on a SURPRISE TRIP! (Part 1),2022-04-24T14:52:26Z,2828061,24717,1329,-lzoPN_Mz0o,PetsAnimals,,0.873991049,5.376866125,1155
Pandas 🐼 One Of The Worst Mothers In The Animal Kingdom #shorts #pandas #animalkingdom,2022-04-24T11:00:15Z,6053542,372048,3389,KAxbRgC4W2Q,PetsAnimals,,6.145955541,0.9109039694,1155
Mr. Science in the house! #thatlilttlepuff #puffknowsbetter #catsoftiktok,2022-04-24T01:07:08Z,88837610,3241551,1883,jjulFuYRokE,PetsAnimals,,3.648849851,0.0580894763,1155
I Built a Tiny Fishing Hut Diorama,2022-04-22T23:26:07Z,3174845,50934,1864,vibPtnBMF_I,PetsAnimals,,1.604298793,3.659637963,1157
Adorable Elephant Pranks Human! #Shorts,2022-04-22T22:00:32Z,26622385,938805,8912,bBSRlIbs9t4,PetsAnimals,,3.526374515,0.949291919,1157
Catching a Giant Japanese Salamander | River Monsters #shorts,2022-04-22T19:00:02Z,48585,2358,17,1JVF-KAexA0,PetsAnimals,,4.853349799,0.7209499576,1157
O Que Podemos Aprender Com Os Animais Sobre A Vida!,2022-04-22T18:00:02Z,82,23,8,9zG5BVzmeFo,PetsAnimals,,28.04878049,34.7826087,1157
Can a Sound Kill You? | The Test Lab | BBC Earth Kids,2022-04-21T13:00:06Z,768497,207,N/A,Deu_FD2TGlA,PetsAnimals,,0.02693569396,#VALUE!,1158
Labbaik Innal Hamdalak..Cute baby is doing Umrah with mom!#short #umrah #makkah #ksa #love #cutebaby,2022-04-20T17:41:26Z,164,4,0,o3YkGSX74OU,PetsAnimals,,2.43902439,0,1159
Did The Alligators Eat All The Big Fish??? 🤔🐟🐊 #shorts #alligator,2022-04-20T14:00:06Z,53172062,2006750,3775,GJGChV6sW4k,PetsAnimals,,3.77406842,0.1881151115,1159
Two Heads Of The Pigeon Baby,2022-04-19T10:30:20Z,3060181,92641,421,nNLwTl4_NR0,PetsAnimals,,3.027304594,0.4544424175,1160
Why Does Debbie The Chicken Have Ducklings??? 🤔🐔🦆 #shorts #animals,2022-04-18T14:00:04Z,17083186,889083,3221,ChljEzxgw0w,PetsAnimals,,5.204433178,0.3622833864,1161
La Pesada Eruca Sativa junto a Gorda resucitada en el Forum Santiago del Estero,2022-04-17T21:36:16Z,167,10,0,iont4YKnjWo,PetsAnimals,,5.988023952,0,1162
Quick trip to the pet store!,2022-04-16T04:01:32Z,362682,9149,292,Mna3t9MLdGw,PetsAnimals,,2.522595552,3.19160564,1163
SULTANIA DAIRY FARM jaipur rajasthan#shorts #cow #buffalo #milk #RRR,2022-04-15T07:01:29Z,89,5,0,5W_htMdi31c,PetsAnimals,,5.617977528,0,1164
I Built my Axolotl the World's Longest Tunnel,2022-04-14T22:09:48Z,11806367,208123,4669,h0fbvurfwAc,PetsAnimals,,1.762803071,2.243384921,1165
This is an Injustice || ViralHog,2022-04-13T22:57:28Z,192879473,4136412,32685,sCvcZx_Ej0w,PetsAnimals,,2.144557913,0.7901775742,1166
SULTANIA dairy farm jaipur rajasthan #buffalo #cow #milk #shorts,2022-04-12T03:10:19Z,1612,46,0,ykWxe6_U5_4,PetsAnimals,,2.853598015,0,1167
My Alligator Eats A $79 Steak! 🥩🐊 #shorts #alligator,2022-04-10T14:00:01Z,20343412,1656947,3762,aPsK1gFu5AE,PetsAnimals,,8.144882481,0.2270440756,1169
Cómo cambiar agua a una pecera 🐠,2022-04-09T16:01:43Z,222822,9645,108,A09MqNRjZjs,PetsAnimals,,4.328567197,1.119751166,1170
This Barn Owl Is a Natural Performer 🦉⭐ #shorts,2022-04-09T11:00:21Z,99087,5617,118,Pxrd_5N2if0,PetsAnimals,,5.66875574,2.100765533,1170
Adorable Puppies Pick Their Own Names! #Shorts,2022-04-09T00:00:30Z,7203083,74326,2042,zzVWtq_dI0c,PetsAnimals,,1.031863717,2.747356241,1170
How to Pick Up a Duck (part 8),2022-04-08T13:20:52Z,1805387,157327,879,MoyF2IKXQyo,PetsAnimals,,8.714308899,0.5587089311,1171
Free shaping DDR German Shepherd with a touch stick Part 1  #germanshepherd #cute #dog #doggo,2022-04-08T02:31:56Z,93550,6314,54,-uWUlu5Gerw,PetsAnimals,,6.749331908,0.8552423187,1171
