Title,Date,Views,Likes,Comments,Video_ID,Category,Extracted: ,LTV,CTL,Diff
"Minivlog, A Questão da Casa Própria (Parte 2)",2025-04-10T16:34:00Z,27,0,0,mBlJ9cxhz4s,NonprofitsActivism,,0,#DIV/0!,69
"Minivlog, A Questão da Casa Própria (Parte 1)",2025-04-10T16:33:15Z,92,1,0,fPuEoWpU9rI,NonprofitsActivism,,1.086956522,0,69
"Minivlog, A Questão da Casa Própria (Parte 3)",2025-04-10T16:35:01Z,42,1,0,QIvX9TRLpZA,NonprofitsActivism,,2.380952381,0,69
A questão dos filhos na geração atual (Parte 3),2025-04-05T05:11:00Z,72,1,0,nGjypDxCyl8,NonprofitsActivism,,1.388888889,0,74
A questão dos filhos na geração atual (Parte 1),2025-04-05T05:09:54Z,71,0,0,5I2mASXnpho,NonprofitsActivism,,0,#DIV/0!,74
"A Origem do Halloween, Parte 2, 3 (Do meu Tiktok)",2025-04-04T17:53:58Z,49,0,0,pdgcgSpQAtw,NonprofitsActivism,,0,#DIV/0!,75
,,,,,,,,#DIV/0!,#DIV/0!,#VALUE!
,,,,,,,,#DIV/0!,#DIV/0!,#VALUE!
3 Mendigos pedindo doação de ração na Rua,2025-05-15T20:02:59Z,10,3,1,jJP9UeaAczg,PetsAnimals,,30,33.33333333,34
Tumla Tumla dance video #love #dance #ccxml #edit #youtubeshorts #shorts #song #gungun_gupta #video,2025-05-15T15:30:35Z,60499,1731,17,wkG86ZN-2KU,PetsAnimals,,2.861204317,0.9820912767,34
Får vi gå in här? Hemlig flygbas!,2025-05-15T15:30:27Z,19699,283,33,r41IbyO3NLg,PetsAnimals,,1.436621148,11.66077739,34
Wait and watch the end😁😍#madhandivya #trendingcouple #couplegoal #truelove #trending #lovesong,2025-05-15T12:18:45Z,135543,4782,41,S9SaCipyNrk,PetsAnimals,,3.528031695,0.8573818486,34
#devbhoomi #devbhumi #devbumidwarka #dwarkadhishstatus #dwarikadham #dwarka #dwarkatemple #dwarkamor,2025-05-15T09:56:51Z,1761,59,0,sGo-NbxpwHQ,PetsAnimals,,3.350369108,0,34
Our 3 DAY TRIP turns into a 6 DAY TRIP | Sri Lanka Vlog,2025-05-15T08:59:06Z,6917,177,31,mpWeaaQ6L0E,PetsAnimals,,2.558912823,17.51412429,34
"May 14, 2025",2025-05-14T20:45:16Z,30,0,0,vhoJ0quaiyQ,PetsAnimals,,0,#DIV/0!,35
शुभ रात्रि दोस्तों ❤️ Good Night 🌃 #goodnight #night #jaishrikrishna #kanha #radheshyam #shorts,2025-05-14T17:52:52Z,14,4,1,mbZUSBLozWs,PetsAnimals,,28.57142857,25,35
Accident 🚗💥🚗 #crash #accidentnews #top #news #latest #shorts #shortvideo #viralvideo #2025,2025-05-14T17:00:54Z,78,4,0,UWFi_Kkd67Y,PetsAnimals,,5.128205128,0,35
"FAÇA E VENDA! BOMBOM CROCANTE DE MARACUJÁ – FÁCIL, DELICIOSO E PERFEITO PRA VENDER! Dika da Naka",2025-05-14T15:00:57Z,13656,1608,120,XeluHCrRuS4,PetsAnimals,,11.77504394,7.462686567,35
Video Dump (couldn't edit because of a long drive),2025-05-14T13:00:10Z,41,1,4,67AaTDyALKM,PetsAnimals,,2.43902439,400,35
Engaloda 10th Award🥰🤗Instagram and YouTube best couples Award🤗♥️#madhandivya #awards #trending,2025-05-14T12:49:30Z,460647,14946,75,G4Ppao7gg9w,PetsAnimals,,3.244566881,0.5018065034,35
自由廣場與國家戲劇院/National Theater，歷史與藝術交會的文化地標#自由廣場#國家戲劇院#中正紀念堂#台北景點#歷史建築#國家兩廳院#台灣文化地標#台北旅遊,2025-05-14T11:25:23Z,0,0,0,x-MnyAEQuAY,PetsAnimals,,#DIV/0!,#DIV/0!,35
14 Mei 2025,2025-05-14T11:27:04Z,19,0,N/A,eiX8xQWss2c,PetsAnimals,,0,#VALUE!,35
Wow ❤️ 🐦🕊️🤗💯 #love #girl #beautiful #trending #trendingshorts #lovestatus #shorts #ridhizinta #2025,2025-05-14T10:53:57Z,22,4,1,CR5J7awfLeg,PetsAnimals,,18.18181818,25,35
❤️💯❤️ #miniature #shorts #trending #trendingshorts #latest #2025,2025-05-14T10:15:15Z,15,3,1,9VS43hvHo_c,PetsAnimals,,20,33.33333333,35
तकनीकी | Technology 💯 #technology #latestnews #latest #trending #everyone #new #top #tech #shorts,2025-05-14T03:21:42Z,10,2,0,cRTVt9Mb24c,PetsAnimals,,20,0,35
Subscribe If you like travel videos,2025-05-14T02:13:59Z,1,0,0,FSnt74fVITY,PetsAnimals,,0,#DIV/0!,35
Explora Journeys cabin secrets,2025-05-13T20:27:57Z,676,50,8,tbj2UahAXdM,PetsAnimals,,7.396449704,16,36
