Title,Date,Views,Likes,ViewsLog,LikesLog,Comments,Category,Duration,VideoID,Extracted,LTV,CTL,Diff,CommentsGroup,DiffGroup
Você teria um mini Opala? 😍 @pardalminiveiculos3611,2025-08-01T23:05:06Z,9745,857,3.988781843,3.988781843,36,AutosVehicles,54,bKIwZhRBZmI,2025-8-02T00:00:00Z,0.08794253463,0.003694202155,1,11-100 Comments,<= 1 week
This Diesel Class A Motorhome is a Game Changer!,2025-08-01T23:00:49Z,11533,494,4.061942292,4.061942292,56,AutosVehicles,1656,qpwZbQlKbdE,2025-8-02T00:00:00Z,0.04283360791,0.004855631666,1,11-100 Comments,<= 1 week
COMEÇEI A DESMONTAGEM SOZINHA+TESTANDO RADIADOR DE OLEO,2025-08-01T22:30:16Z,6167,1085,3.790073948,3.790073948,44,AutosVehicles,693,YK2h-K218Xg,2025-8-02T00:00:00Z,0.1759364359,0.007134749473,1,11-100 Comments,<= 1 week
Flat Shift on a Ford BTR? Hacking the Haltech to save the Turbo AU Fairmont's transmission!,2025-08-01T22:03:16Z,8321,665,3.920175522,3.920175522,107,AutosVehicles,1246,IVW6gfiXRws,2025-8-02T00:00:00Z,0.07991827905,0.01285903137,1,101-1000 Comments,<= 1 week
👀🚨 Tacoma Trailhunter is a BEAST! | 2022 4Runner Hits 20K – What You MUST Know!,2025-08-01T22:01:19Z,2528,20,3.40277707,3.40277707,0,AutosVehicles,1441,2Gyu8kjzu0M,2025-8-02T00:00:00Z,0.007911392405,0,1,No Comments,<= 1 week
SKYLINE: A RETROSPECTIVA  | 🟠⚒️,2025-08-01T22:00:58Z,6639,784,3.822102669,3.822102669,12,AutosVehicles,6164,vENCugH1Zyk,2025-8-02T00:00:00Z,0.1180900738,0.00180750113,1,11-100 Comments,<= 1 week
MÉXICO E BRASIL SE UNEM CONTRA TRUMP! | A REVOLTA LATINA COMEÇOU?,2025-08-01T21:50:01Z,14463,678,4.160258386,4.160258386,22,AutosVehicles,773,73evcqDE5P0,2025-8-02T00:00:00Z,0.04687824103,0.001521122865,1,11-100 Comments,<= 1 week
A PRIMEIRA PUXADA DO GOL! O RONCO FICOU INSANO! 🔥🚀,2025-08-01T21:15:52Z,38467,5862,4.585088317,4.585088317,166,AutosVehicles,1299,XqViwXnWwFo,2025-8-02T00:00:00Z,0.1523903606,0.004315387215,1,101-1000 Comments,<= 1 week
Is the Joe Dirt Movie Car a REAL Daytona?! Stacey David's Gearz S19 E5,2025-08-01T21:01:06Z,22855,1072,4.358981226,4.358981226,44,AutosVehicles,1471,wPWfFXRTy-c,2025-8-02T00:00:00Z,0.04690439729,0.001925180486,1,11-100 Comments,<= 1 week
Woke up in a new KIA,2025-08-01T20:58:20Z,27456,85,4.438637266,4.438637266,1,AutosVehicles,7,CNSNAQPh5Xc,2025-8-02T00:00:00Z,0.003095862471,3.64E-05,1,1-10 Comments,<= 1 week
